Order ID,Order Date,Ship Mode,Customer Name,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
CA-2016-152156,11/8/2016,Second Class,Claire Gute,Henderson,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,41.9136
CA-2016-152156,11/8/2016,Second Class,Claire Gute,Henderson,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,219.582
CA-2016-138688,6/12/2016,Second Class,Darrin Van Huff,Los Angeles,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.8714
US-2015-108966,10/11/2015,Standard Class,Sean O'Donnell,Fort Lauderdale,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,-383.031
US-2015-108966,10/11/2015,Standard Class,Sean O'Donnell,Fort Lauderdale,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,2.5164
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Office Supplies,Art,Newell 322,7.28,4,1.9656
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,90.7152
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.7825
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,85.3092
CA-2014-115812,6/9/2014,Standard Class,Brosina Hoffman,Los Angeles,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,68.3568
CA-2017-114412,4/15/2017,Standard Class,Andrew Allen,Concord,North Carolina,Office Supplies,Paper,Xerox 1967,15.552,3,5.4432
CA-2016-161389,12/5/2016,Standard Class,Irene Maddox,Seattle,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922
US-2015-118983,11/22/2015,Standard Class,Harold Pawlan,Fort Worth,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858
US-2015-118983,11/22/2015,Standard Class,Harold Pawlan,Fort Worth,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,-3.816
